epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.472658,0.96234,2.33271,1.27758,0.61513,0.85,0.79764,0.61243,1.62323,1.06314,1.37154,0,0,0
2,0.655231,1.2551,3.30004,1.6744,0.6032,0.85,0.79574,0.60585,1.63665,1.05152,1.37491,9.5438e-07,9.5438e-07,9.5438e-07
3,0.825222,1.34764,3.67345,1.61466,0.60364,0.85,0.80596,0.60936,1.64214,1.03436,1.37856,1.43752e-06,1.43752e-06,1.43752e-06
4,1.00966,1.02278,2.77168,1.27747,0.60799,0.85,0.80681,0.60956,1.66746,1.02487,1.37898,1.44942e-06,1.44942e-06,1.44942e-06
5,1.22446,1.3829,3.02164,1.65733,0.605,0.85,0.80339,0.60848,1.66288,1.02219,1.37427,9.9008e-07,9.9008e-07,9.9008e-07
