epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.24954,3.26843,4.50011,3.50376,0.003,0.9,0.00679,0.00141,2.84187,3.61568,3.21396,2e-05,2e-05,2e-05
2,2.52831,2.69923,3.57282,3.04925,0.003,0.9,0.00819,0.00162,2.82255,3.5647,3.15163,4.812e-05,4.812e-05,4.812e-05
3,2.77815,3.59586,3.7036,3.44129,0.00301,0.9,0.00851,0.00149,2.8342,3.48446,3.19696,6.04e-05,6.04e-05,6.04e-05
4,3.05912,3.36418,4.29869,3.41211,0.00333,1,0.0136,0.0024,2.80557,3.53301,3.16306,5.684e-05,5.684e-05,5.684e-05
5,3.43665,3.00716,4.59612,3.69764,0.00301,0.9,0.01772,0.00273,2.83889,3.41823,3.10362,3.744e-05,3.744e-05,3.744e-05
