epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75528,0,40.1846,0,0,0,0,0,0,34.4375,0,2e-05,2e-05,2e-05
2,3.48802,0,40.2222,0,0,0,0,0,0,34.4375,0,4.812e-05,4.812e-05,4.812e-05
3,3.81214,0,40.3083,0,0,0,0,0,0,34.4375,0,6.04e-05,6.04e-05,6.04e-05
4,4.12905,0,40.1227,0,0,0,0,0,0,34.4375,0,5.684e-05,5.684e-05,5.684e-05
5,4.4071,0,39.7793,0,0,0,0,0,0,34.4375,0,3.744e-05,3.744e-05,3.744e-05
